name,country,state_or_region,continent,category,budget_level,climate,best_season,adventure,nightlife,family_friendly,trekking,beach_activities,cultural_sites,wildlife,shopping,popularity_score,safety_score,avg_cost_index,rating
Gulmarg,India,Jammu and Kashmir,Asia,Adventure,Luxury,Alpine,Winter,1,0,1,1,0,0,0,0,90,75,85,4.9
Pahalgam,India,Jammu and Kashmir,Asia,Nature,Mid-range,Alpine,Summer,1,0,1,1,0,0,0,1,89,82,50,4.8
Nainital,India,Uttarakhand,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,1,0,1,92,91,46,4.6
Mussoorie,India,Uttarakhand,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,1,0,1,91,90,48,4.5
Rishikesh,India,Uttarakhand,Asia,Adventure,Budget,Temperate,Spring,1,0,1,1,0,1,0,1,95,92,30,4.8
Haridwar,India,Uttarakhand,Asia,Religious,Budget,Temperate,Spring,0,0,1,0,0,1,0,1,94,88,25,4.7
Auli,India,Uttarakhand,Asia,Adventure,Mid-range,Alpine,Winter,1,0,1,1,0,0,0,0,85,94,55,4.8
Jim Corbett,India,Uttarakhand,Asia,Wildlife,Mid-range,Temperate,Winter,1,0,1,0,0,0,1,0,92,85,60,4.7
Khajuraho,India,Madhya Pradesh,Asia,Historical,Mid-range,Continental,Winter,0,0,1,0,0,1,0,1,90,88,40,4.8
Gwalior,India,Madhya Pradesh,Asia,Historical,Budget,Continental,Winter,0,0,1,0,0,1,0,1,84,85,32,4.5
Orchha,India,Madhya Pradesh,Asia,Historical,Budget,Tropical,Winter,1,0,1,0,0,1,0,0,82,90,28,4.6
Kanha,India,Madhya Pradesh,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,0,0,0,1,0,89,88,55,4.8
Bandhavgarh,India,Madhya Pradesh,Asia,Wildlife,Luxury,Tropical,Winter,1,0,1,0,0,0,1,0,88,85,75,4.7
Sanchi,India,Madhya Pradesh,Asia,Historical,Budget,Tropical,Winter,0,0,1,0,0,1,0,0,83,92,25,4.6
Munnar,India,Kerala,Asia,Mountain,Mid-range,Temperate,Winter,1,0,1,1,0,0,0,1,96,95,50,4.9
Wayanad,India,Kerala,Asia,Nature,Mid-range,Tropical,Winter,1,0,1,1,0,0,1,0,90,94,45,4.7
Kochi,India,Kerala,Asia,Historical,Mid-range,Tropical,Winter,0,1,1,0,0,1,0,1,93,92,52,4.7
Alleppey,India,Kerala,Asia,Nature,Mid-range,Tropical,Winter,0,0,1,0,1,0,0,0,95,94,55,4.8
Thekkady,India,Kerala,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,1,0,0,1,1,91,93,48,4.7
Varkala,India,Kerala,Asia,Beach,Budget,Tropical,Winter,1,1,1,0,1,1,0,1,88,88,35,4.6
Kovalam,India,Kerala,Asia,Beach,Mid-range,Tropical,Winter,0,1,1,0,1,0,0,1,90,90,50,4.5
Kumarakom,India,Kerala,Asia,Nature,Luxury,Tropical,Winter,0,0,1,0,0,0,0,0,87,95,85,4.8
Ooty,India,Tamil Nadu,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,1,0,1,94,91,48,4.6
Kodaikanal,India,Tamil Nadu,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,0,0,1,92,92,45,4.7
Madurai,India,Tamil Nadu,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,91,88,30,4.8
Rameswaram,India,Tamil Nadu,Asia,Religious,Budget,Tropical,Winter,1,0,1,0,1,1,0,0,90,90,32,4.7
Kanyakumari,India,Tamil Nadu,Asia,Nature,Budget,Tropical,Winter,0,0,1,0,1,1,0,1,92,90,35,4.6
Mahabalipuram,India,Tamil Nadu,Asia,Historical,Mid-range,Tropical,Winter,1,0,1,0,1,1,0,1,89,92,45,4.7
Hampi,India,Karnataka,Asia,Historical,Budget,Tropical,Winter,1,0,1,1,0,1,0,1,95,94,28,4.9
Mysore,India,Karnataka,Asia,Historical,Budget,Temperate,Winter,0,0,1,0,0,1,0,1,93,95,35,4.7
Coorg,India,Karnataka,Asia,Nature,Mid-range,Temperate,Winter,1,0,1,1,0,0,0,1,94,96,55,4.8
Gokarna,India,Karnataka,Asia,Beach,Budget,Tropical,Winter,1,1,0,1,1,1,0,1,87,85,30,4.6
Badami,India,Karnataka,Asia,Historical,Budget,Tropical,Winter,1,0,1,1,0,1,0,0,82,88,25,4.6
Chikmagalur,India,Karnataka,Asia,Mountain,Mid-range,Temperate,Winter,1,0,1,1,0,0,0,0,86,94,45,4.7
Bandipur,India,Karnataka,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,0,0,0,1,0,85,90,55,4.6
Visakhapatnam,India,Andhra Pradesh,Asia,Beach,Mid-range,Tropical,Winter,1,1,1,0,1,1,1,1,88,88,40,4.4
Tirupati,India,Andhra Pradesh,Asia,Religious,Mid-range,Tropical,Year-round,0,0,1,1,0,1,0,1,98,95,45,4.9
Vijayawada,India,Andhra Pradesh,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,82,85,30,4.2
Leh,India,Ladakh,Asia,Adventure,Mid-range,Alpine,Summer,1,0,1,1,0,1,0,1,94,98,55,4.9
Pangong Tso,India,Ladakh,Asia,Nature,Mid-range,Alpine,Summer,1,0,1,0,0,0,1,0,93,95,60,4.9
Nubra Valley,India,Ladakh,Asia,Adventure,Mid-range,Alpine,Summer,1,0,1,1,0,1,0,0,88,94,55,4.8
Kargil,India,Ladakh,Asia,Historical,Budget,Alpine,Summer,1,0,1,1,0,1,0,0,80,90,30,4.5
Darjeeling,India,West Bengal,Asia,Mountain,Mid-range,Temperate,Spring,1,0,1,1,0,1,0,1,95,92,45,4.7
Kalimpong,India,West Bengal,Asia,Mountain,Budget,Temperate,Spring,1,0,1,1,0,1,0,1,84,94,32,4.5
Digha,India,West Bengal,Asia,Beach,Budget,Tropical,Winter,0,0,1,0,1,0,0,1,82,80,25,4.0
Sundarbans,India,West Bengal,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,0,0,0,1,0,88,75,45,4.6
Konark,India,Odisha,Asia,Historical,Budget,Tropical,Winter,0,0,1,0,1,1,0,1,90,90,30,4.8
Puri,India,Odisha,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,1,1,0,1,94,85,32,4.6
Cuttack,India,Odisha,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,80,85,28,4.1
Kaziranga,India,Assam,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,0,0,0,1,0,94,88,50,4.9
Majuli,India,Assam,Asia,Nature,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,85,95,25,4.8
Tawang,India,Arunachal Pradesh,Asia,Religious,Mid-range,Alpine,Autumn,1,0,1,1,0,1,0,0,86,96,40,4.8
Ziro,India,Arunachal Pradesh,Asia,Nature,Budget,Temperate,Autumn,1,0,1,1,0,1,0,0,80,94,28,4.7
Cherrapunji,India,Meghalaya,Asia,Nature,Budget,Temperate,Summer,1,0,1,1,0,0,0,0,91,92,35,4.8
Dawki,India,Meghalaya,Asia,Nature,Budget,Temperate,Winter,1,0,1,0,1,0,0,0,88,93,30,4.7
Dharamshala,India,Himachal Pradesh,Asia,Religious,Budget,Temperate,Spring,1,1,1,1,0,1,0,1,94,95,35,4.8
Dalhousie,India,Himachal Pradesh,Asia,Mountain,Mid-range,Alpine,Summer,1,0,1,1,0,1,0,1,89,94,42,4.6
Kasauli,India,Himachal Pradesh,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,0,0,1,85,96,48,4.5
Spiti Valley,India,Himachal Pradesh,Asia,Adventure,Budget,Alpine,Summer,1,0,0,1,0,1,0,0,89,95,35,4.9
Khajjiar,India,Himachal Pradesh,Asia,Nature,Budget,Alpine,Summer,1,0,1,1,0,0,0,1,87,95,30,4.7
Mahabaleshwar,India,Maharashtra,Asia,Mountain,Mid-range,Temperate,Winter,1,0,1,1,0,1,0,1,91,92,50,4.6
Lonavala,India,Maharashtra,Asia,Mountain,Mid-range,Temperate,Autumn,1,1,1,1,0,0,0,1,93,90,55,4.4
Aurangabad,India,Maharashtra,Asia,Historical,Mid-range,Tropical,Winter,0,0,1,0,0,1,0,1,89,85,40,4.7
Nashik,India,Maharashtra,Asia,Religious,Mid-range,Temperate,Winter,1,1,1,1,0,1,0,1,87,90,45,4.5
Shirdi,India,Maharashtra,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,96,92,30,4.6
Tadoba,India,Maharashtra,Asia,Wildlife,Mid-range,Tropical,Winter,1,0,1,0,0,0,1,0,86,85,55,4.7
Ajanta Caves,India,Maharashtra,Asia,Historical,Mid-range,Tropical,Winter,0,0,1,0,0,1,0,0,94,92,45,4.9
Ellora Caves,India,Maharashtra,Asia,Historical,Mid-range,Tropical,Winter,0,0,1,0,0,1,0,0,94,92,45,4.9
Gir National Park,India,Gujarat,Asia,Wildlife,Mid-range,Desert,Winter,1,0,1,0,0,0,1,0,92,90,50,4.8
Somnath,India,Gujarat,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,1,1,0,1,91,94,30,4.7
Dwarka,India,Gujarat,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,1,1,0,1,90,93,30,4.7
Rann of Kutch,India,Gujarat,Asia,Nature,Mid-range,Desert,Winter,1,0,1,0,0,1,0,1,93,95,65,4.8
Saputara,India,Gujarat,Asia,Mountain,Budget,Temperate,Summer,1,0,1,1,0,1,1,1,80,92,35,4.3
Statue of Unity,India,Gujarat,Asia,Urban,Mid-range,Tropical,Winter,1,0,1,0,0,1,0,1,95,96,60,4.7
Khajuraho,India,Madhya Pradesh,Asia,Historical,Mid-range,Continental,Winter,0,0,1,0,0,1,0,1,92,88,42,4.8
Ujjain,India,Madhya Pradesh,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,93,88,28,4.7
Bodhgaya,India,Bihar,Asia,Religious,Budget,Subtropical,Winter,0,0,1,0,0,1,0,1,92,85,25,4.8
Nalanda,India,Bihar,Asia,Historical,Budget,Subtropical,Winter,0,0,1,0,0,1,0,0,86,88,25,4.7
Paris,France,Ile-de-France,Europe,Urban,Luxury,Temperate,Spring,0,1,1,0,0,1,0,1,100,85,95,4.8
London,UK,England,Europe,Urban,Luxury,Temperate,Spring,0,1,1,0,0,1,0,1,100,82,98,4.7
New York City,USA,New York,North America,Urban,Luxury,Continental,Autumn,0,1,1,0,0,1,0,1,100,75,100,4.7
Tokyo,Japan,Kanto,Asia,Urban,Luxury,Temperate,Spring,0,1,1,0,0,1,0,1,99,98,90,4.9
Dubai,UAE,Dubai,Middle East,Urban,Luxury,Desert,Winter,1,1,1,0,1,0,0,1,99,95,95,4.6
Singapore,Singapore,Singapore,Asia,Urban,Luxury,Tropical,Year-round,0,1,1,0,0,0,0,1,98,99,92,4.8
Rome,Italy,Lazio,Europe,Historical,Mid-range,Mediterranean,Spring,0,1,1,0,0,1,0,1,99,80,75,4.8
Venice,Italy,Veneto,Europe,Historical,Luxury,Mediterranean,Spring,0,1,1,0,0,1,0,1,98,88,95,4.7
Florence,Italy,Tuscany,Europe,Historical,Mid-range,Mediterranean,Autumn,0,1,1,0,0,1,0,1,96,92,75,4.9
Barcelona,Spain,Catalonia,Europe,Urban,Mid-range,Mediterranean,Summer,0,1,1,0,1,1,0,1,97,82,70,4.6
Madrid,Spain,Madrid,Europe,Urban,Mid-range,Mediterranean,Spring,0,1,1,0,0,1,0,1,95,85,65,4.6
Seville,Spain,Andalusia,Europe,Historical,Mid-range,Mediterranean,Spring,0,1,1,0,0,1,0,1,92,90,60,4.7
Amsterdam,Netherlands,North Holland,Europe,Urban,Mid-range,Temperate,Spring,0,1,1,0,0,1,0,1,97,88,85,4.6
Berlin,Germany,Berlin,Europe,Urban,Mid-range,Continental,Summer,0,1,1,0,0,1,0,1,95,85,65,4.5
Munich,Germany,Bavaria,Europe,Urban,Mid-range,Continental,Autumn,0,1,1,0,0,1,0,1,94,92,75,4.7
Vienna,Austria,Vienna,Europe,Urban,Mid-range,Continental,Spring,0,1,1,0,0,1,0,1,93,96,75,4.8
Prague,Czech Republic,Prague,Europe,Historical,Budget,Continental,Autumn,0,1,1,0,0,1,0,1,96,90,45,4.8
Budapest,Hungary,Central Hungary,Europe,Urban,Budget,Continental,Autumn,0,1,1,0,0,1,0,1,95,88,42,4.7
Athens,Greece,Attica,Europe,Historical,Budget,Mediterranean,Spring,0,1,1,0,0,1,0,1,94,78,50,4.6
Santorini,Greece,Cyclades,Europe,Island,Luxury,Mediterranean,Summer,1,1,0,0,1,1,0,1,98,92,98,4.9
Mykonos,Greece,Cyclades,Europe,Island,Luxury,Mediterranean,Summer,0,1,0,0,1,0,0,1,95,90,95,4.5
Istanbul,Turkey,Marmara,Europe,Historical,Budget,Mediterranean,Spring,0,1,1,0,0,1,0,1,98,80,40,4.8
Antalya,Turkey,Mediterranean,Europe,Beach,Budget,Mediterranean,Summer,1,1,1,0,1,1,0,1,92,85,35,4.6
Cairo,Egypt,Cairo,Africa,Historical,Budget,Desert,Winter,0,1,1,0,0,1,0,1,95,65,30,4.4
Luxor,Egypt,Luxor,Africa,Historical,Budget,Desert,Winter,1,0,1,0,0,1,0,0,92,75,35,4.9
Cape Town,South Africa,Western Cape,Africa,Urban,Mid-range,Mediterranean,Summer,1,1,1,1,1,1,1,1,96,65,55,4.8
Johannesburg,South Africa,Gauteng,Africa,Urban,Mid-range,Temperate,Summer,0,1,1,0,0,1,1,1,88,50,50,4.2
Nairobi,Kenya,Nairobi,Africa,Urban,Mid-range,Temperate,Year-round,1,1,1,0,0,1,1,1,87,60,45,4.5
Marrakech,Morocco,Marrakesh-Safi,Africa,Historical,Budget,Desert,Spring,0,1,1,0,0,1,0,1,95,82,35,4.7
Casablanca,Morocco,Casablanca-Settat,Africa,Urban,Mid-range,Mediterranean,Spring,0,1,1,0,1,1,0,1,88,80,45,4.3
Sydney,Australia,New South Wales,Oceania,Urban,Luxury,Temperate,Summer,1,1,1,0,1,1,1,1,98,90,90,4.8
Melbourne,Australia,Victoria,Oceania,Urban,Luxury,Temperate,Summer,0,1,1,0,1,1,0,1,96,92,88,4.7
Auckland,New Zealand,Auckland,Oceania,Urban,Mid-range,Temperate,Summer,1,1,1,1,1,0,1,1,90,95,80,4.6
Queenstown,New Zealand,Otago,Oceania,Adventure,Luxury,Alpine,Winter,1,1,1,1,0,0,0,1,94,98,92,4.9
Rio de Janeiro,Brazil,Rio de Janeiro,South America,Beach,Mid-range,Tropical,Summer,1,1,1,1,1,1,0,1,97,60,60,4.7
Buenos Aires,Argentina,Buenos Aires,South America,Urban,Mid-range,Temperate,Autumn,0,1,1,0,0,1,0,1,94,75,55,4.6
Machu Picchu,Peru,Cusco,South America,Historical,Mid-range,Alpine,Autumn,1,0,0,1,0,1,0,0,99,85,65,4.9
Cusco,Peru,Cusco,South America,Historical,Budget,Alpine,Autumn,1,1,1,1,0,1,0,1,94,82,35,4.8
Toronto,Canada,Ontario,North America,Urban,Luxury,Continental,Summer,0,1,1,0,0,1,0,1,95,92,90,4.6
Vancouver,Canada,British Columbia,North America,Nature,Luxury,Temperate,Summer,1,1,1,1,1,1,1,1,94,94,92,4.8
Montreal,Canada,Quebec,North America,Urban,Mid-range,Continental,Summer,0,1,1,0,0,1,0,1,92,90,75,4.7
Mexico City,Mexico,CDMX,North America,Urban,Budget,Temperate,Spring,0,1,1,0,0,1,0,1,95,68,40,4.7
Cancun,Mexico,Quintana Roo,North America,Beach,Mid-range,Tropical,Winter,1,1,1,0,1,1,0,1,96,75,70,4.5
Havana,Cuba,La Habana,North America,Historical,Budget,Tropical,Winter,0,1,1,0,1,1,0,1,90,85,40,4.6
Bangkok,Thailand,Bangkok,Asia,Urban,Budget,Tropical,Winter,0,1,1,0,0,1,0,1,99,78,35,4.7
Phuket,Thailand,Phuket,Asia,Beach,Mid-range,Tropical,Winter,1,1,1,0,1,1,0,1,97,80,55,4.6
Chiang Mai,Thailand,Chiang Mai,Asia,Historical,Budget,Tropical,Winter,1,1,1,1,0,1,0,1,94,90,30,4.8
Bali,Indonesia,Bali,Asia,Island,Budget,Tropical,Year-round,1,1,1,1,1,1,1,1,99,88,40,4.9
Jakarta,Indonesia,Jakarta,Asia,Urban,Mid-range,Tropical,Year-round,0,1,1,0,0,0,0,1,88,70,45,4.1
Hanoi,Vietnam,Hanoi,Asia,Urban,Budget,Subtropical,Autumn,0,1,1,0,0,1,0,1,94,88,25,4.7
Ho Chi Minh City,Vietnam,Ho Chi Minh,Asia,Urban,Budget,Tropical,Winter,0,1,1,0,0,1,0,1,93,85,28,4.6
Siem Reap,Cambodia,Siem Reap,Asia,Historical,Budget,Tropical,Winter,0,1,1,0,0,1,0,1,96,88,25,4.9
Kyoto,Japan,Kansai,Asia,Historical,Mid-range,Temperate,Autumn,0,0,1,0,0,1,0,1,98,99,75,4.9
Osaka,Japan,Kansai,Asia,Urban,Mid-range,Temperate,Spring,0,1,1,0,0,1,0,1,95,98,70,4.7
Seoul,South Korea,Seoul,Asia,Urban,Mid-range,Continental,Autumn,0,1,1,0,0,1,0,1,97,97,75,4.8
Jerusalem,Israel,Jerusalem,Middle East,Religious,Mid-range,Mediterranean,Spring,0,0,1,0,0,1,0,1,96,82,85,4.8
Petra,Jordan,Ma'an,Middle East,Historical,Mid-range,Desert,Spring,1,0,1,1,0,1,0,0,97,90,70,4.9
Muscat,Oman,Muscat,Middle East,Urban,Mid-range,Desert,Winter,0,0,1,0,1,1,0,1,85,96,65,4.5
Doha,Qatar,Doha,Middle East,Urban,Luxury,Desert,Winter,0,1,1,0,1,1,0,1,90,95,90,4.4
Riyadh,Saudi Arabia,Riyadh,Middle East,Urban,Mid-range,Desert,Winter,0,0,1,0,0,1,0,1,88,92,75,4.3
Mecca,Saudi Arabia,Makkah,Middle East,Religious,Mid-range,Desert,Winter,0,0,1,0,0,1,0,1,99,95,70,4.9
Lisbon,Portugal,Lisbon,Europe,Urban,Budget,Mediterranean,Spring,0,1,1,0,1,1,0,1,95,90,50,4.7
Porto,Portugal,Porto,Europe,Historical,Budget,Mediterranean,Autumn,0,1,1,0,1,1,0,1,92,92,45,4.7
Dubrovnik,Croatia,Dalmatia,Europe,Historical,Mid-range,Mediterranean,Summer,1,1,1,0,1,1,0,1,94,92,85,4.8
Split,Croatia,Dalmatia,Europe,Historical,Mid-range,Mediterranean,Summer,1,1,1,0,1,1,0,1,90,92,75,4.7
Reykjavik,Iceland,Capital Region,Europe,Nature,Luxury,Alpine,Summer,1,1,1,1,0,1,1,1,94,99,98,4.8
Oslo,Norway,Oslo,Europe,Urban,Luxury,Continental,Summer,0,1,1,1,0,1,0,1,88,98,95,4.5
Stockholm,Sweden,Stockholm,Europe,Urban,Luxury,Continental,Summer,0,1,1,0,1,1,0,1,91,95,92,4.6
Copenhagen,Denmark,Capital Region,Europe,Urban,Luxury,Temperate,Summer,0,1,1,0,0,1,0,1,93,97,95,4.7
Helsinki,Finland,Uusimaa,Europe,Urban,Luxury,Continental,Summer,0,1,1,0,1,1,0,1,86,98,90,4.4
Tallinn,Estonia,Harju,Europe,Historical,Budget,Continental,Summer,0,1,1,0,0,1,0,1,88,94,45,4.7
Riga,Latvia,Riga,Europe,Urban,Budget,Continental,Summer,0,1,1,0,0,1,0,1,85,90,40,4.5
Vilnius,Lithuania,Vilnius,Europe,Historical,Budget,Continental,Summer,0,1,1,0,0,1,0,1,84,92,38,4.6
Warsaw,Poland,Masovia,Europe,Urban,Budget,Continental,Summer,0,1,1,0,0,1,0,1,89,90,40,4.6
Krakow,Poland,Lesser Poland,Europe,Historical,Budget,Continental,Summer,0,1,1,0,0,1,0,1,94,92,35,4.8
Bratislava,Slovakia,Bratislava,Europe,Urban,Budget,Continental,Summer,0,1,1,0,0,1,0,1,82,90,40,4.4
Ljubljana,Slovenia,Ljubljana,Europe,Nature,Mid-range,Temperate,Spring,1,1,1,1,0,1,0,1,87,96,55,4.8
Zürich,Switzerland,Zurich,Europe,Urban,Luxury,Temperate,Summer,0,1,1,1,0,1,0,1,92,98,100,4.6
Geneva,Switzerland,Geneva,Europe,Urban,Luxury,Temperate,Summer,0,1,1,0,1,1,0,1,90,97,98,4.5
Zermatt,Switzerland,Valais,Europe,Mountain,Luxury,Alpine,Winter,1,1,1,1,0,0,0,1,95,98,95,4.9
Interlaken,Switzerland,Bern,Europe,Adventure,Luxury,Alpine,Summer,1,1,1,1,0,0,0,1,93,98,94,4.8
Brussels,Belgium,Brussels,Europe,Urban,Mid-range,Temperate,Spring,0,1,1,0,0,1,0,1,90,82,85,4.3
Bruges,Belgium,Flanders,Europe,Historical,Mid-range,Temperate,Spring,0,0,1,0,0,1,0,1,94,95,75,4.8
Luxembourg City,Luxembourg,Luxembourg,Europe,Urban,Luxury,Temperate,Summer,0,1,1,0,0,1,0,1,82,98,95,4.5
Dublin,Ireland,Leinster,Europe,Urban,Mid-range,Temperate,Summer,0,1,1,0,0,1,0,1,94,88,88,4.6
Edinburgh,UK,Scotland,Europe,Historical,Mid-range,Temperate,Summer,1,1,1,1,0,1,0,1,96,92,80,4.8
Glasgow,UK,Scotland,Europe,Urban,Mid-range,Temperate,Summer,0,1,1,0,0,1,0,1,88,80,70,4.4
Belfast,UK,Northern Ireland,Europe,Urban,Mid-range,Temperate,Summer,0,1,1,0,0,1,0,1,85,85,65,4.3
Cardiff,UK,Wales,Europe,Urban,Mid-range,Temperate,Summer,0,1,1,0,0,1,0,1,83,88,65,4.2
Nice,France,Provence-Alpes-Côte d'Azur,Europe,Beach,Luxury,Mediterranean,Summer,0,1,1,0,1,1,0,1,95,88,92,4.6
Lyon,France,Auvergne-Rhône-Alpes,Europe,Urban,Mid-range,Continental,Spring,0,1,1,0,0,1,0,1,90,85,75,4.7
Marseille,France,Provence-Alpes-Côte d'Azur,Europe,Urban,Mid-range,Mediterranean,Summer,0,1,1,0,1,1,0,1,87,75,70,4.2
